Name,1_90s,1_Pos,1_xG,1_PrgC,1_PrgP,1_xA,1_OffAct,2_90s,2_Pos,2_xG,2_PrgC,2_PrgP,2_xA,2_OffAct,Team
Sergio Ruiz,27.7,MF,0.02527075812274368,1.2274368231046933,4.07942238267148,0.06498194945848376,1.9133574007220218,10.9,MF,0.04587155963302752,2.2018348623853212,4.311926605504587,0.04587155963302752,1.3761467889908257,GRANADA
Myrto Uzuni,27.2,FW,0.474264705882353,0.7720588235294118,0.6617647058823529,0.11029411764705882,3.014705882352941,33.7,"FW,MF",0.5964391691394658,1.1869436201780414,1.780415430267062,0.10385756676557863,5.074183976261128,GRANADA
Bryan Zaragoza,18.2,"MF,FW",0.2087912087912088,5.4945054945054945,1.978021978021978,0.23076923076923078,10.10989010989011,12.1,"MF,FW",0.11570247933884296,6.859504132231405,3.0578512396694215,0.21487603305785125,12.479338842975206,GRANADA
Óscar Melendo,12.5,"MF,FW",0.032,1.68,3.04,0.08,2.08,25.3,MF,0.04743083003952569,1.383399209486166,6.521739130434782,0.1976284584980237,2.5296442687747036,GRANADA
José Callejón,8.9,"MF,FW",0.14606741573033707,1.1235955056179774,3.932584269662921,0.15730337078651685,5.50561797752809,33.6,"FW,MF",0.16071428571428573,1.0714285714285714,4.107142857142857,0.1875,6.964285714285714,GRANADA
Antonio Puertas,8.1,"MF,FW",0.39506172839506176,2.2222222222222223,2.7160493827160495,0.07407407407407407,6.419753086419753,24.5,"FW,MF",0.22448979591836735,1.9183673469387754,2.2448979591836733,0.10612244897959185,5.1020408163265305,GRANADA
Jon Guridi,29.8,MF,0.1342281879194631,1.006711409395973,3.926174496644295,0.09731543624161074,2.38255033557047,30.3,"MF,FW",0.0957095709570957,1.188118811881188,4.62046204620462,0.10561056105610561,2.541254125412541,ALAVES
Luis Rioja,27.8,"FW,MF",0.21942446043165464,2.5179856115107913,2.7697841726618706,0.1510791366906475,9.640287769784173,34.9,"FW,MF",0.1547277936962751,3.9255014326647566,3.008595988538682,0.18051575931232092,9.570200573065902,ALAVES
Antonio Blanco,27.0,MF,0.02962962962962963,0.7407407407407407,4.925925925925926,0.040740740740740744,2.0,14.5,MF,0.013793103448275864,0.5517241379310345,4.827586206896552,0.041379310344827586,1.1724137931034482,ALAVES
Carlos Benavídez,12.6,MF,0.07936507936507936,0.7142857142857143,4.761904761904762,0.05555555555555555,1.5873015873015874,16.3,MF,0.1165644171779141,0.7361963190184049,3.496932515337423,0.042944785276073615,1.3496932515337423,ALAVES
Abderrahman Rebbach,8.0,"FW,MF",0.1,4.25,1.75,0.2125,11.25,9.6,"FW,MF",0.2604166666666667,3.0208333333333335,2.1875,0.08333333333333334,7.291666666666667,ALAVES
Sandro Ramírez,20.1,FW,0.18407960199004975,3.034825870646766,2.6865671641791042,0.14925373134328357,8.059701492537313,13.5,"FW,MF",0.28148148148148144,2.4444444444444446,2.2222222222222223,0.15555555555555556,8.222222222222221,LAS PALMAS
Alberto Moleiro,20.0,"FW,MF",0.1,4.3,4.35,0.135,5.85,29.9,"MF,FW",0.13043478260869565,3.9130434782608696,5.551839464882943,0.14046822742474918,4.782608695652174,LAS PALMAS
Enzo Loiodice,19.9,MF,0.02512562814070352,1.35678391959799,4.874371859296483,0.09045226130653267,3.3668341708542715,33.6,MF,0.06845238095238095,2.083333333333333,5.476190476190476,0.0744047619047619,3.482142857142857,LAS PALMAS
Jonathan Viera,6.9,"MF,FW",0.3333333333333333,3.7681159420289854,9.420289855072463,0.17391304347826086,5.507246376811594,28.2,"MF,FW",0.34397163120567376,4.680851063829787,11.382978723404255,0.2765957446808511,7.092198581560284,LAS PALMAS
Marc Cardona,8.0,FW,0.525,1.25,1.625,0.075,5.0,22.8,FW,0.43859649122807015,1.5789473684210527,1.4473684210526316,0.03508771929824561,3.7719298245614032,LAS PALMAS
Francisco Jesús Crespo García,5.6,FW,0.23214285714285718,3.035714285714286,3.5714285714285716,0.08928571428571429,11.25,20.5,"MF,FW",0.17073170731707318,3.2195121951219514,3.4634146341463414,0.1951219512195122,10.390243902439025,LAS PALMAS
Benito Ramírez,4.3,"FW,MF",0.0930232558139535,3.0232558139534884,1.1627906976744187,0.0930232558139535,10.465116279069768,4.9,"MF,FW",0.12244897959183672,4.489795918367347,2.4489795918367343,0.16326530612244897,10.816326530612244,LAS PALMAS
